My Circle,My Rank,Circle Ring,User,Circle Person,User rank,User Ring,Is Me,Common
@satya_majhi,35.,3,@satya_majhi,@MarkTossell,22.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@AdamMico1,23.,2,no,yes
@satya_majhi,35.,3,@satya_majhi,@SurajitTweet,24.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@TheAnsumanRath,25.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@Ravisutanjani,26.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@VizByMoon,27.,3,yes,no
@satya_majhi,35.,3,@satya_majhi,@ipsitamahapatr3,28.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@stunningmoon,29.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@dishwireless,30.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@ajaydevgn,31.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@pradeep_zen,32.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@dataTasteMaker,33.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@BhukadInsan,34.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@kumariika,35.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@east_bengaluru,36.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@bmcbbsr,37.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@itssitu,38.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@TechiAnshi,39.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@vaniagarwal83,40.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@sandeeprrao1991,41.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@gpshots1,42.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@airtelindia,43.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@justlalit,44.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@Rakeshkumarray8,45.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@professorkao,1.,1,no,yes
@imagineazhar,36.,3,@imagineazhar,@ItsElisaDavis,2.,1,no,yes
@imagineazhar,36.,3,@imagineazhar,@tableau,3.,1,no,yes
@imagineazhar,36.,3,@imagineazhar,@KevinWee90,4.,1,no,yes
@imagineazhar,36.,3,@imagineazhar,@tableaupublic,5.,1,no,yes
@imagineazhar,36.,3,@imagineazhar,@vizvithvarun,6.,1,no,yes
@imagineazhar,36.,3,@imagineazhar,@ArshiyaShaheen,7.,1,no,no
@imagineazhar,36.,3,@imagineazhar,@p_padham,8.,1,no,no
@imagineazhar,36.,3,@imagineazhar,@ahmaddotpk,9.,2,no,no
@imagineazhar,36.,3,@imagineazhar,@finkledeb,10.,2,no,no
@imagineazhar,36.,3,@imagineazhar,@HipsterVizNinja,11.,2,no,no
@imagineazhar,36.,3,@imagineazhar,@ZenDollData,12.,2,no,yes
@imagineazhar,36.,3,@imagineazhar,@fresh_gb,13.,2,no,no
@imagineazhar,36.,3,@imagineazhar,@Saveriorocc,14.,2,no,yes
@imagineazhar,36.,3,@imagineazhar,@VizByMoon,15.,2,yes,no
@imagineazhar,36.,3,@imagineazhar,@nicolemark_,16.,2,no,yes
@imagineazhar,36.,3,@imagineazhar,@ShazeeraZawawi,17.,2,no,yes
@imagineazhar,36.,3,@imagineazhar,@FlerlageKev,18.,2,no,yes
@imagineazhar,36.,3,@imagineazhar,@prem_prasann,19.,2,no,yes
@imagineazhar,36.,3,@imagineazhar,@szucsi,20.,2,no,no
@imagineazhar,36.,3,@imagineazhar,@WJSutton12,21.,2,no,yes
@imagineazhar,36.,3,@imagineazhar,@VizWithIrene,22.,2,no,no
@imagineazhar,36.,3,@imagineazhar,@ShijiaWendy,23.,2,no,no
@imagineazhar,36.,3,@imagineazhar,@brrosenau,24.,2,no,yes
@imagineazhar,36.,3,@imagineazhar,@menscuriosa,25.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@MesumRazaHemani,26.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@JohannaJoso,27.,3,no,yes
@imagineazhar,36.,3,@imagineazhar,@sarahlovesdata,28.,3,no,yes
@imagineazhar,36.,3,@imagineazhar,@researchremora,29.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@ladataviz,30.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@NicoleKlassen12,31.,3,no,yes
@imagineazhar,36.,3,@imagineazhar,@GilbertFontana,32.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@zizzy_data,33.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@pradeep_zen,34.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@flerlagekr,35.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@VizWizBI,36.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@ScottKimly,37.,3,no,yes
@imagineazhar,36.,3,@imagineazhar,@AbdelBeheri,38.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@HighVizAbility,39.,3,no,no
@imagineazhar,36.,3,@imagineazhar,@willchamp_,40.,3,no,no
